ion_position_um,intensity_mW_cm2
1.040570190047273229e+02,3.673950536689825352e-02
1.042786552110878233e+02,3.653861358642003510e-02
1.045002914174483095e+02,3.633777393238495773e-02
1.047219276238087957e+02,3.613642545970086745e-02
1.049435638301692961e+02,3.593719248324197396e-02
1.051652000365297965e+02,3.573706139487840827e-02
1.053868362428902827e+02,3.554076322237935404e-02
1.056084724492507689e+02,3.534617304710371832e-02
1.058301086556112693e+02,3.515185812107844004e-02
1.060517448619717698e+02,3.496219625437958778e-02
1.062733810683322559e+02,3.477481484992387545e-02
1.064950172746927564e+02,3.458682604376919767e-02
1.067166534810532426e+02,3.439932798980532141e-02
1.069382896874137430e+02,3.421279842909579622e-02
1.071599258937742434e+02,3.402798537036419435e-02
1.073815621001347296e+02,3.383992093088720315e-02
1.076031983064952158e+02,3.365458461672684448e-02
1.078248345128557162e+02,3.346991242720879361e-02
1.080464707192162166e+02,3.328113139252331099e-02
1.082681069255767028e+02,3.309187980239054749e-02
1.084897431319371890e+02,3.290397414291065803e-02
1.087113793382976894e+02,3.271873726391435339e-02
1.089330155446581898e+02,3.253572312462237742e-02
1.091546517510186760e+02,3.235040980935008359e-02
1.093762879573791622e+02,3.216796074462643235e-02
1.095979241637396626e+02,3.198729695732294848e-02
1.098195603701001630e+02,3.181089201185379606e-02
1.100411965764606492e+02,3.162943315290794866e-02
1.102628327828211354e+02,3.144895716664238700e-02
1.104844689891816358e+02,3.126604934497475424e-02
1.107061051955421362e+02,3.107926483827268618e-02
1.109277414019026224e+02,3.090333656872440091e-02
1.111493776082631086e+02,3.076047076161450219e-02
1.113710138146236091e+02,3.062928055674681710e-02
1.115926500209841095e+02,3.046879101388073885e-02
1.118142862273446099e+02,3.028258945975687358e-02
1.120359224337050961e+02,3.008949621139639374e-02
1.122575586400655823e+02,2.989898003473642762e-02
1.124791948464260827e+02,2.970655880946077715e-02
1.127008310527865831e+02,2.950709618005082843e-02
1.129224672591470693e+02,2.931250705353107347e-02
1.131441034655075555e+02,2.912429701724576769e-02
1.133657396718680559e+02,2.894898466234431880e-02
1.135873758782285563e+02,2.879899977761995328e-02
1.138090120845890425e+02,2.867738856456798074e-02
1.140306482909495287e+02,2.853194058945960829e-02
1.142522844973100291e+02,2.836134114670870940e-02
1.144739207036705295e+02,2.819115318495444764e-02
1.146955569100310157e+02,2.802562983522778953e-02
1.149171931163915019e+02,2.786330531374631159e-02
1.151388293227520023e+02,2.770448067079296986e-02
1.153604655291125027e+02,2.753908238520147433e-02
1.155821017354729889e+02,2.737875662030959598e-02
1.158037379418334751e+02,2.721867988577180916e-02
1.160253741481939755e+02,2.705606102440615002e-02
1.162470103545544760e+02,2.689880550046010871e-02
1.164686465609149764e+02,2.673704391506819683e-02
1.166902827672754626e+02,2.657982965311015550e-02
1.169119189736359488e+02,2.642448781362875462e-02
1.171335551799964492e+02,2.627089729809685761e-02
1.173551913863569496e+02,2.611780883346138601e-02
1.175768275927174358e+02,2.596336245122140771e-02
1.177984637990779220e+02,2.580899284118706727e-02
1.180201000054384224e+02,2.565404749696439599e-02
1.182417362117989228e+02,2.549548490368578474e-02
1.184633724181594090e+02,2.534406524721725951e-02
1.186850086245198952e+02,2.519061637107902415e-02
1.189066448308803956e+02,2.503843247475143891e-02
1.191282810372408960e+02,2.489027612862607791e-02
1.193499172436013822e+02,2.474354084667820461e-02
1.195715534499618684e+02,2.459638189194692653e-02
1.197931896563223688e+02,2.445181991069710417e-02
1.200148258626828692e+02,2.430548631862678582e-02
1.202364620690433554e+02,2.415617099896573763e-02
1.204580982754038416e+02,2.401289854496820378e-02
1.206797344817643420e+02,2.386729659119811789e-02
1.209013706881248424e+02,2.372079148657919856e-02
1.211230068944853429e+02,2.357715485211256748e-02
1.213446431008458291e+02,2.343183713575818297e-02
