ion_position_um,intensity_mW_cm2,yerr_low,yerr_high
6.195576036866359004e+01,1.133692722371967554e-01,4.366576819407011478e-03,4.447439353099741366e-03
7.200998463901689206e+01,6.824797843665768304e-02,2.830188679245282390e-03,2.830188679245282390e-03
8.695545314900154210e+01,4.989218328840969857e-02,2.264150943396221749e-03,2.264150943396228688e-03
1.119551459293394799e+02,2.822102425876010443e-02,1.536388140161722149e-03,1.617250673854448567e-03
1.318824372759856658e+02,1.528301886792452803e-02,1.212938005390835558e-03,1.212938005390835558e-03
1.519003072196620678e+02,1.318059299191374524e-02,1.051212938005389660e-03,1.132075471698114344e-03
1.719181771633384699e+02,5.741239892183288597e-03,9.703504043126693138e-04,8.894878706199454976e-04
